name,sanskrit_name,scientific_name,dosha_effect,rasa,virya,key_benefits,preparation,dosage,duration,safety_notes,difficulty_level
Guduchi,Giloy,Tinospora cordifolia,Tridoshic,Bitter,Hot,"Immunity, fever management, detoxification","Boil a small piece of giloy stem in water for 10-15 minutes, strain and drink.","1 cup, once daily","1-2 weeks","Avoid in autoimmune conditions without medical guidance; may lower blood sugar.",Intermediate
Vetiver,Khus,Chrysopogon zizanioides,Pitta,Bitter,Cold,"Cooling, stress relief, skin care","Soak vetiver roots in water and use the infused water for drinking or bathing.","1 cup infused water daily","As needed","Generally safe; primarily used for cooling in hot weather.",Beginner
Jasmine,Chameli,Jasminum officinale,Pitta,Bitter,Cold,"Stress relief, skin care, calming aroma","Steep dried jasmine flowers in hot water for 5 minutes to make tea.","1 cup, once daily","As needed","Generally safe; check for flower allergies before topical use.",Beginner
Lemongrass,Gandha Tripatra,Cymbopogon citratus,Kapha,Pungent,Cold,"Digestion, stress relief, mild detox","Boil fresh or dried lemongrass stalks in water for 5-10 minutes.","1 cup, 1-2 times daily","As needed","Generally safe; avoid excessive daily long-term use.",Beginner
Basil Sweet Basil,Sabja,Ocimum basilicum,Vata,Pungent,Hot,"Digestion, respiratory support, cooling with seeds","Soak 1 tsp basil seeds (sabja) in water until they swell, add to drinks.","1 tsp seeds daily","As needed","Ensure seeds are fully soaked before consuming to avoid choking risk.",Beginner
Triphala,Triphala,"Emblica officinalis, Terminalia bellirica, Terminalia chebula (blend)",Tridoshic,Astringent,Cold,"Digestion, gentle detox, eye health","Mix 1/2 to 1 tsp triphala powder in warm water before bed.","1/2-1 tsp, once daily at night","2-4 weeks","May cause mild loose stools initially; reduce dose if needed. Avoid in pregnancy without guidance.",Beginner
Manjistha,Manjistha,Rubia cordifolia,Pitta,Bitter,Cold,"Skin health, blood purification, lymphatic support","Boil 1/2 tsp manjistha root powder in water for 10 minutes, strain and drink.","1/2 tsp, once daily","3-4 weeks","Avoid during pregnancy; consult a doctor if on blood-thinning medication.",Intermediate
Amalaki Guduchi Blend,Amalaki-Guduchi,"Phyllanthus emblica, Tinospora cordifolia",Tridoshic,"Sour, Bitter",Cold,"Immunity, rejuvenation, antioxidant support","Mix 1 tsp combined powder in warm water.","1 tsp, once daily","4-6 weeks","Generally safe; consult a doctor if on immunosuppressant medication.",Intermediate
Vidanga,Vidanga,Embelia ribes,Kapha,Pungent,Hot,"Digestive cleansing, appetite support","Take 1/4 tsp vidanga powder with warm water after meals.","1/4 tsp, once daily","1-2 weeks","Use only in small amounts; avoid prolonged use without guidance.",Advanced
Punarnava,Punarnava,Boerhavia diffusa,Kapha,Bitter,Hot,"Kidney support, mild diuretic, swelling relief","Boil 1 tsp punarnava powder or root in water for 10 minutes.","1 cup, once daily","1-2 weeks","Avoid in low blood pressure conditions; consult a doctor for kidney concerns.",Advanced
Bhringraj,Bhringraj,Eclipta alba,Pitta,Bitter,Cold,"Hair growth, scalp health, calming","Mix bhringraj oil into the scalp, or take 1/2 tsp powder with water.","Apply oil 2-3 times weekly, or 1/2 tsp powder daily","4-6 weeks","Generally safe for topical use; patch test before full application.",Beginner
Kalonji Black Seed,Kalonji,Nigella sativa,Kapha,Pungent,Hot,"Immunity, respiratory support, metabolic health","Take 1/4 tsp kalonji seeds or oil with warm water.","1/4 tsp, once daily","2-4 weeks","Avoid high doses during pregnancy; consult a doctor if on diabetes medication.",Beginner
Moringa,Sahijan,Moringa oleifera,Vata,"Bitter, Pungent",Hot,"Nutrition support, energy, anti-inflammatory","Add 1 tsp moringa leaf powder to water, smoothies, or food.","1 tsp daily","2-4 weeks","Generally safe in food amounts; avoid root/bark extracts during pregnancy.",Beginner
Indian Gooseberry Leaves,Amla Patra,Phyllanthus emblica (leaf),Pitta,Astringent,Cold,"Mild digestive support, cooling",Boil a handful of amla leaves in water for 10 minutes and strain.,"1 cup, once daily","1 week","Generally safe in moderate amounts.",Beginner
Sandalwood,Chandan,Santalum album,Pitta,Bitter,Cold,"Cooling, skin care, calming aroma","Make a paste of sandalwood powder with water or rose water and apply to skin.","Apply topically as needed","As needed","For external use only unless using food-grade preparations under guidance.",Beginner
Henna,Mehendi,Lawsonia inermis,Pitta,Astringent,Cold,"Hair conditioning, scalp cooling, mild dye","Mix henna powder with water into a paste and apply to hair or skin.","Apply once every 2-4 weeks","As needed","Patch test before use; avoid contact with eyes.",Beginner
Dill,Suva,Anethum graveolens,Vata,Pungent,Hot,"Digestion, gas relief, mild sedative for infants","Steep fresh or dried dill leaves/seeds in hot water for 5-10 minutes.","1 cup, 1-2 times daily","As needed","Generally safe; use diluted preparations for infants under guidance.",Beginner
Bael,Bilva,Aegle marmelos,Kapha,Astringent,Hot,"Digestive health, diarrhea relief","Boil bael fruit pulp in water or make a sherbet with ripe fruit.","1 cup, once daily","3-5 days","Avoid excess unripe fruit, which can be too astringent.",Beginner
Guggul,Guggulu,Commiphora mukul,Kapha,Bitter,Hot,"Cholesterol support, joint health, metabolism","Take guggul resin extract as directed, typically in tablet or powder form.","As directed on product label","4-8 weeks","Avoid during pregnancy; consult a doctor if on thyroid or cholesterol medication.",Advanced
Kutki,Kutki,Picrorhiza kurroa,Pitta,Bitter,Cold,"Liver support, digestion","Take 1/4 tsp kutki powder with warm water.","1/4 tsp, once daily","2-3 weeks","Use under guidance for liver conditions; avoid prolonged self-use.",Advanced
Jatamansi,Jatamansi,Nardostachys jatamansi,Vata,Bitter,Cold,"Sleep support, calming, mental clarity","Mix 1/4 tsp jatamansi powder in warm milk before bed.","1/4 tsp, once at night","2-3 weeks","Generally safe; may cause mild drowsiness, avoid before driving.",Intermediate
Vacha,Vacha,Acorus calamus,Kapha,Pungent,Hot,"Mental clarity, speech support, digestion","Take a small pinch of vacha powder with honey.","A pinch, once daily","1-2 weeks","Use only in very small amounts; not for prolonged daily use without guidance.",Advanced
Arjuna,Arjuna,Terminalia arjuna,Kapha,Astringent,Cold,"Heart health, cardiovascular support","Boil 1 tsp arjuna bark powder in water or milk for 10 minutes.","1 tsp, once or twice daily","4-8 weeks","Consult a doctor if on heart medication before use.",Intermediate
Haritaki,Haritaki,Terminalia chebula,Vata,Astringent,Hot,"Digestion, gentle detox, rejuvenation","Take 1/2 tsp haritaki powder with warm water before bed.","1/2 tsp, once daily at night","2-3 weeks","May cause mild loose stools initially; avoid in pregnancy without guidance.",Beginner
Bibhitaki,Bibhitaki,Terminalia bellirica,Kapha,Astringent,Hot,"Respiratory support, digestion","Take 1/2 tsp bibhitaki powder with warm water.","1/2 tsp, once daily","2-3 weeks","Generally safe in recommended doses.",Beginner
Kokum,Kokum,Garcinia indica,Pitta,Sour,Cold,"Digestion, cooling, weight management support","Make a kokum sherbet by soaking dried kokum rind in water with a little jaggery.","1 cup, once daily","As needed","Generally safe as a food-based remedy.",Beginner
Nutmeg,Jaiphal,Myristica fragrans,Vata,Pungent,Hot,"Sleep support, digestion, mild pain relief","Add a small pinch of nutmeg powder to warm milk before bed.","A pinch, once at night","As needed","Avoid large doses; excess nutmeg can be toxic.",Intermediate
Clove,Lavang,Syzygium aromaticum,Kapha,Pungent,Hot,"Dental pain relief, digestion, respiratory support","Chew a whole clove or apply diluted clove oil to the gums for toothache.","1 clove as needed, or diluted oil topically","As needed","Undiluted clove oil can irritate gums; dilute before topical use.",Beginner
Ajwain,Ajwain,Trachyspermum ammi,Kapha,Pungent,Hot,"Digestion, gas relief, respiratory support","Boil 1 tsp ajwain seeds in water for 5 minutes and strain.","1 cup, once or twice daily","As needed","Avoid excess during pregnancy.",Beginner
Chirayata,Chirayata,Swertia chirata,Pitta,Bitter,Cold,"Fever support, digestion, liver health","Soak 1 tsp chirayata in water overnight, strain and drink in the morning.","1 cup, once daily","3-5 days","Very bitter; use under guidance for fever or liver concerns.",Advanced
Pomegranate,Anar,Punica granatum,Pitta,"Sweet, Astringent",Cold,"Antioxidant support, digestion, heart health","Eat fresh pomegranate seeds or drink fresh juice.","1 cup daily","As needed","Generally very safe as a food-based remedy.",Beginner
Drumstick Leaves,Sahijan Patta,Moringa oleifera (leaf),Vata,Bitter,Hot,"Nutrition, energy, anti-inflammatory support","Cook fresh moringa leaves into food, or steep dried leaves for tea.","1 cup cooked leaves or tea daily","As needed","Generally safe in food amounts.",Beginner
Wheatgrass,Godhuma Ankura,Triticum aestivum (sprout),Pitta,"Sweet, Bitter",Cold,"Detox support, energy, antioxidant boost","Juice fresh wheatgrass shoots, drink on an empty stomach.","1-2 oz juice daily","1-2 weeks","May cause nausea in some; start with a small amount.",Intermediate
Betel Leaf,Paan Patta,Piper betle,Kapha,Pungent,Hot,"Digestion, breath freshening, mild stimulant","Chew a fresh betel leaf after meals.","1 leaf after meals","As needed","Avoid with tobacco or areca nut, which are harmful; leaf alone in moderation is traditional.",Beginner
Indian Sarsaparilla,Anantamul,Hemidesmus indicus,Pitta,"Sweet, Bitter",Cold,"Blood purification, skin health, cooling","Boil 1 tsp root powder in water for 10 minutes and strain.","1 cup, once daily","2-3 weeks","Generally safe in recommended doses.",Intermediate
