symptom_text,dosha_imbalance,recommended_plant,recommended_therapy,severity_flag
"I have mild anxiety before important events",Vata,Ashwagandha,Ashwagandha Pre-Event Calm,low
"I feel dull skin and want a natural glow",Pitta,Manjistha,Manjistha Glow Routine,low
"I have body odor and excess sweating",Pitta,Sandalwood,Sandalwood Cooling Body Care,low
"I am experiencing sudden severe abdominal pain that won't go away",,,,emergency
"I have uncontrolled bleeding that won't stop",,,,emergency
"I have racing thoughts and can't fall asleep",Vata,Jatamansi,Jatamansi Sleep Support,low
"I feel mentally foggy and my speech feels unclear",Kapha,Vacha,Vacha Mental Clarity,low
"I have occasional heart palpitations and want cardiovascular support",Kapha,Arjuna,Arjuna Heart Support,medium
"I feel constipated and need gentle rejuvenation",Vata,Haritaki,Haritaki Nightly Detox,low
"I have a chesty cough with mucus",Kapha,Bibhitaki,Bibhitaki Respiratory Clear,low
"I feel overheated and want a cooling refreshing drink",Pitta,Kokum,Kokum Cooling Sherbet,low
"I have trouble sleeping and mild joint discomfort at night",Vata,Nutmeg,Nutmeg Sleep Aid,low
"I have a toothache and gum sensitivity",Kapha,Clove,Clove Dental Relief,medium
"I have gas and bloating after a spicy meal",Kapha,Ajwain,Ajwain Digestive Relief,low
"I have a lingering low fever and feel sluggish",Pitta,Chirayata,Chirayata Fever Support,medium
"I want general antioxidant support and better digestion",Pitta,Pomegranate,Pomegranate Wellness Routine,low
"I feel low on energy and nutrition despite eating regularly",Vata,Drumstick Leaves,Moringa Leaf Nutrition Boost,low
"I feel toxic and want a gentle morning detox",Pitta,Wheatgrass,Wheatgrass Morning Detox,low
"I have bad breath and mild indigestion after meals",Kapha,Betel Leaf,Betel Leaf Digestive Aid,low
"I have skin irritation and want blood purification support",Pitta,Indian Sarsaparilla,Sarsaparilla Skin Cleanse,low
"I feel anxious before sleeping and my mind won't settle",Vata,Jatamansi,Jatamansi Calming Routine,low
"I have mild memory lapses and unclear thinking",Kapha,Vacha,Vacha Memory Clarity,low
"I feel breathless after mild exertion",Kapha,Arjuna,Arjuna Breathing Support,medium
"I have chronic constipation that doesn't improve",Vata,Triphala,Triphala Extended Digestive Support,medium
"I feel dizzy and nauseous while traveling",Vata,Ginger,Ginger Travel Sickness Relief,low
"I am vomiting blood or have black stools",,,,emergency
"I have sudden weakness or numbness on one side of my body",,,,emergency
